Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 0,0.26804123711340205,0.40625,0.3229813664596274,64.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 1,0.35583333333333333,0.646969696969697,0.4591397849462365,660.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 2,0.5894245723172629,0.6122778675282714,0.6006339144215531,619.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 3,0.42758620689655175,0.4744897959183674,0.4498186215235792,392.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 4,0.9366306027820711,0.9395348837209302,0.9380804953560371,645.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 5,0.8578352180936996,0.8181818181818182,0.8375394321766563,649.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 6,0.6086956521739131,0.7967479674796748,0.6901408450704225,246.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 7,0.4806201550387597,0.3163265306122449,0.3815384615384616,196.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 8,0.5625,0.432,0.4886877828054299,125.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 9,0.7396226415094339,0.5816023738872403,0.6511627906976745,337.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 10,0.5679611650485437,0.65,0.6062176165803109,360.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 11,0.288135593220339,0.2833333333333333,0.2857142857142857,60.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 12,0.44165621079046424,0.5057471264367817,0.47153382451440057,696.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 13,0.48314606741573035,0.48314606741573035,0.48314606741573035,89.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 14,0.46835443037974683,0.3274336283185841,0.38541666666666663,113.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 15,0.4125,0.35106382978723405,0.3793103448275862,94.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 16,0.4142857142857143,0.4027777777777778,0.4084507042253522,144.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 17,0.4782608695652174,0.2894736842105263,0.360655737704918,76.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 18,0.5057803468208093,0.39863325740318906,0.445859872611465,439.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 19,0.6666666666666666,0.6594594594594595,0.6630434782608696,185.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 20,0.43548387096774194,0.38571428571428573,0.4090909090909091,70.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 21,0.5648148148148148,0.37423312883435583,0.45018450184501846,163.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 22,0.40384615384615385,0.27631578947368424,0.32812500000000006,76.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 23,0.43388429752066116,0.5109489051094891,0.4692737430167598,411.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 24,0.4065934065934066,0.2781954887218045,0.33035714285714285,133.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 25,0.5677083333333334,0.45416666666666666,0.5046296296296297,240.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 26,0.7333333333333333,0.7432432432432432,0.738255033557047,74.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 27,0.49642857142857144,0.6556603773584906,0.5650406504065041,212.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 28,0.5149253731343284,0.5111111111111111,0.5130111524163569,135.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 29,0.6,0.707774798927614,0.6494464944649446,373.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 30,0.5471698113207547,0.4603174603174603,0.5,126.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 31,0.4444444444444444,0.47761194029850745,0.4604316546762589,67.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 32,0.7456140350877193,0.6778309409888357,0.7101086048454468,627.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 33,0.5616438356164384,0.4939759036144578,0.5256410256410257,83.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 34,0.48,0.43781094527363185,0.45793581960104074,603.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
